case_id,symptom,topology_note,concept_tag,severity,show_outputs,expected_fault
NET-001,PC1 cannot reach Server1 in VLAN 30,Inter-VLAN Routing,Routing,High,"GigabitEthernet0/0.10 is up, line protocol is up\nGigabitEthernet0/0.30 is administratively down, line protocol is down","GigabitEthernet0/0.30 is administratively down"
NET-002,PC2 cannot ping default gateway,Access Port Configuration,VLAN,Medium,"FastEthernet0/1 is up, line protocol is up\nSwitchport: Enabled\nAdministrative Mode: dynamic auto\nOperational Mode: static access\nAccess Mode VLAN: 1 (default)","Incorrect VLAN assignment, should be VLAN 20"
NET-003,Internal hosts cannot access the Internet; only the first host succeeds,NAT/PAT Gateway,NAT,High,"ip nat inside source list 1 interface GigabitEthernet0/1\nNAT configuration missing overload","NAT configuration missing overload"
NET-004,OSPF neighbor relationship not forming between R1 and R2,OSPF Area 0 Routing,OSPF,High,"R1# show ip ospf interface GigabitEthernet0/0\nGigabitEthernet0/0 is up, line protocol is up\n  Timer intervals configured, Hello 10, Dead 40, Wait 40, Retransmit 5\nR2# show ip ospf interface GigabitEthernet0/0\nGigabitEthernet0/0 is up, line protocol is up\n  Timer intervals configured, Hello 20, Dead 80, Wait 80, Retransmit 5","OSPF Hello/Dead intervals mismatched (10/40 vs 20/80)"
NET-005,Console flooding with Native VLAN mismatch messages,Trunk link between SW1 and SW2,Trunking,Medium,"%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (99) with SW2 GigabitEthernet0/1 (1).","Native VLAN mismatch: SW1 uses 99, SW2 uses 1"
NET-006,EtherChannel not forming, bundle is down,LACP EtherChannel between SW1 and SW2,EtherChannel,High,"SW1# show etherchannel summary\nGroup  Port-channel  Protocol    Ports\n1      Po1(SD)         LACP      Gi0/1(I) Gi0/2(I)\nSW1 channel-group 1 mode active\nSW2 channel-group 1 mode on","EtherChannel mode mismatch: SW1 is active (LACP), SW2 is on (Static)"
NET-007,R1 is not advertising network 192.168.10.0/24 to R2,OSPF Area 0,OSPF,High,"router ospf 1\n log-adjacency-changes\n network 192.168.1.0 0.0.0.255 area 0\n! No network statement for 192.168.10.0/24","Missing OSPF network statement for 192.168.10.0/24"
NET-008,PC1 cannot ping DNS server 8.8.8.8,Edge Router ACL,ACL,High,"Extended IP access list OUTBOUND\n    10 deny ip 192.168.10.0 0.0.0.255 host 8.8.8.8\n    20 permit ip any any","ACL OUTBOUND line 10 denies access to 8.8.8.8"
NET-009,EIGRP neighbor relationship not forming between R1 and R2,EIGRP Routing,EIGRP,High,"R1# show running-config | section EIGRP\nrouter EIGRP 10\n network 10.0.0.0\nR2# show running-config | section EIGRP\nrouter EIGRP 20\n network 10.0.0.0","EIGRP AS number mismatch (10 vs 20)"
NET-010,VLAN 20 hosts are not receiving IP addresses from DHCP server,DHCP Relay,DHCP,High,"interface GigabitEthernet0/0.20\n encapsulation dot1Q 20\n ip address 192.168.20.1 255.255.255.0\n ip helper-address 192.168.1.50","Incorrect ip helper-address 192.168.1.50 (should be 192.168.1.100)"
NET-011,HSRP routers both claiming to be Active,First Hop Redundancy Protocol,HSRP,High,"R1# show standby brief\nInterface   Grp  Pri P State   Active          Standby         Virtual IP\nGi0/0       10   110 P Active  local           unknown         192.168.1.254\nR2# show standby brief\nGi0/0       10   100 P Active  local           unknown         192.168.1.253","HSRP virtual IP mismatch (192.168.1.254 vs 192.168.1.253)"
NET-012,Switch port connected to user PC is down/disabled,STP Port Security,STP,High,"FastEthernet0/5 is down, line protocol is down (err-disabled)\n  BPDU guard enabled on port received BPDU","Port err-disabled due to BPDU Guard receiving BPDU"
NET-013,BGP session with ISP is Idle/Active but not Established,BGP Peering,BGP,High,"R1# show ip bgp summary\nNeighbor        V    AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd\n192.0.2.1       4 65002       0       0        0    0    0 never    Active\nR1# show running-config | section bgp\nrouter bgp 65001\n neighbor 192.0.2.1 remote-as 65005","BGP remote-as is incorrectly configured as 65005 (should be 65002)"
NET-014,Cannot ping remote network 10.10.10.0/24,Static Routing,Routing,High,"ip route 10.10.10.0 255.255.255.0 192.168.12.3\n! R1 interface is 192.168.12.1, neighbor is 192.168.12.2","Incorrect static route next-hop 192.168.12.3 (should be 192.168.12.2)"
NET-015,OSPF adjacency not forming on link between R1 and R2,OSPF Routing,OSPF,High,"R1# show running-config | section ospf\nrouter ospf 1\n passive-interface GigabitEthernet0/0\n network 192.168.12.0 0.0.0.255 area 0","OSPF passive-interface is configured on peering link GigabitEthernet0/0"
NET-016,Hosts in VLAN 50 cannot communicate across switches,Trunk Link between SW1 and SW2,Trunking,High,"SW1# show interfaces trunk\nPort        Mode         Encapsulation  Status        Native vlan\nGi0/1       on           802.1q         trunking      1\nPort        Vlans allowed on trunk\nGi0/1       10,20,30,40","VLAN 50 is not allowed on trunk port GigabitEthernet0/1"
NET-017,NAT translation table is empty, no traffic gets translated,NAT Configuration,NAT,High,"interface GigabitEthernet0/0\n ip address 192.168.1.1 255.255.255.0\n ip nat outside\ninterface GigabitEthernet0/1\n ip address 203.0.113.1 255.255.255.0\n ip nat inside","NAT inside and outside interfaces are reversed"
NET-018,OSPF neighbor adjacency not forming on serial link,Multi-area OSPF,OSPF,High,"R1# show running-config | section ospf\n network 10.1.1.0 0.0.0.3 area 0\nR2# show running-config | section ospf\n network 10.1.1.0 0.0.0.3 area 1","OSPF Area ID mismatch on network 10.1.1.0 (Area 0 vs Area 1)"
NET-019,VLANs created on SW1 are not replicating to SW2,VTP Domain Configuration,VLAN,Medium,"SW1# show vtp status\nVTP Domain Name                  : NetSage\nSW2# show vtp status\nVTP Domain Name                  : netsage","VTP domain name mismatch due to case sensitivity ('NetSage' vs 'netsage')"
NET-020,Operator cannot SSH into router R1; connection rejected,SSH Administration,Security,Medium,"R1# show ip ssh\n% SSH has not been enabled - please create rsa keys first.","SSH is disabled because no RSA crypto keys have been generated"
NET-021,EIGRP neighbor adjacency down,EIGRP Routing,EIGRP,High,"R1# show running-config | section EIGRP\nrouter EIGRP 100\n passive-interface GigabitEthernet0/1","EIGRP passive-interface configured on peer link GigabitEthernet0/1"
NET-022,Authorized incoming web traffic is blocked at the router,ACL Traffic Filtering,ACL,High,"interface GigabitEthernet0/1\n ip address 203.0.113.1 255.255.255.0\n ip access-group SECURE_ACL out","ACL SECURE_ACL applied in wrong direction (outbound instead of inbound)"
NET-023,New office PCs are failing to obtain IP addresses,DHCP IP Pool,DHCP,High,"R1# show ip dhcp pool OFFICE_POOL\nPool OFFICE_POOL :\n Utilization mark is 100%\n Current index is 192.168.10.254\n Total addresses 253\n Leased addresses 253","DHCP address pool OFFICE_POOL is exhausted (100% utilization)"
